eventType,eventTimestamp,executionID,orderID,instrumentID,side,quantity,price,trader,venueID,assetClass
new,2015.05.01D21:38:00.000000000,B&S_TransactionID_Internal1_B,BAS_OrderID_Internal1_B,BAS1,B,10,1.05,FDUUID,BMF,COMM_EXCH
new,2015.05.01D21:38:00.000000000,B&S_TransactionID_Internal1_S,BAS_OrderID_Internal1_S,BAS1,S,10,1.05,FDUUID,BMF,COMM_EXCH
new,2015.05.01D21:38:15.000000000,B&S_TransactionID5,BAS_OrderID105,BAS1,B,25,1.04,FDUUID,BMF,COMM_EXCH
new,2015.05.01D21:38:35.350000000,B&S_TransactionID6,BAS_OrderID106,BAS1,S,15,1.05,FDUUID,BMF,COMM_EXCH
new,2015.05.01D21:39:36.360000000,B&S_TransactionID7,BAS_OrderID107,BAS1,S,20,1.06,FDUUID,BMF,COMM_EXCH
new,2015.05.01D21:38:00.000000000,B&S_TransactionID_Internal2_B,BAS_OrderID_Internal2_B,BAS2,B,10,1.05,FDUUID,BMF,COMM_EXCH
new,2015.05.01D21:38:00.000000000,B&S_TransactionID_Internal2_S,BAS_OrderID_Internal2_S,BAS2,S,10,1.05,FDUUID,BMF,COMM_EXCH
new,2015.05.01D21:38:15.000000000,B&S_TransactionID15,BAS_OrderID205,BAS2,B,25,1.06,FDUUID,BMF,COMM_EXCH
new,2015.05.01D21:38:35.350000000,B&S_TransactionID16,BAS_OrderID206,BAS2,S,15,1.05,FDUUID,BMF,COMM_EXCH
new,2015.05.01D21:39:36.360000000,B&S_TransactionID17,BAS_OrderID207,BAS2,S,20,1.06,FDUUID,BMF,COMM_EXCH
new,2015.05.01D21:38:35.350000000,25,BAS/1000016,BHP,S,15,1.06,REF_FDTRADER2,Exch1,RATES_EXCH
new,2015.05.01D21:39:36.360000000,26,BAS/1000017,BHP,S,20,1.06,REF_FDTRADER2,Exch1,RATES_EXCH
new,2015.05.01D20:38:35.002000000,9,BAS/1000006,SUBID1,S,15,1.06,REF_FDTRADER1,Exch1,COMM_EXCH
new,2015.05.01D20:39:36.002000000,10,BAS/1000007,SUBID1,S,20,1.06,REF_FDTRADER1,Exch1,COMM_EXCH
